ds,holiday,lower_window,upper_window
2021-06-29,svod_dates,0,0
2021-06-30,svod_dates,0,0
2021-07-01,svod_dates,0,0
2021-07-02,svod_dates,0,0
2021-07-03,svod_dates,0,0
2021-07-04,svod_dates,0,0
2021-07-05,svod_dates,0,0
2021-07-06,svod_dates,0,0
2021-07-07,svod_dates,0,0
2021-07-08,svod_dates,0,0
2021-07-09,svod_dates,0,0
2021-07-10,svod_dates,0,0
2021-07-11,svod_dates,0,0
2021-07-12,svod_dates,0,0
2021-07-13,svod_dates,0,0
2021-07-14,svod_dates,0,0
2021-07-15,svod_dates,0,0
2021-07-16,svod_dates,0,0
2021-07-17,svod_dates,0,0
2021-07-18,svod_dates,0,0
2021-07-19,svod_dates,0,0
2021-07-20,svod_dates,0,0
2021-07-21,svod_dates,0,0
2021-07-22,svod_dates,0,0
2021-07-23,svod_dates,0,0
2021-07-24,svod_dates,0,0
2021-07-25,svod_dates,0,0
2021-07-26,svod_dates,0,0
2021-07-27,svod_dates,0,0
2021-07-28,svod_dates,0,0
2021-07-29,svod_dates,0,0
2021-07-30,svod_dates,0,0
2021-07-31,svod_dates,0,0
2021-08-01,svod_dates,0,0
2021-08-02,svod_dates,0,0
2021-08-03,svod_dates,0,0
2021-08-04,svod_dates,0,0
2021-08-05,svod_dates,0,0
2021-08-06,svod_dates,0,0
2021-08-07,svod_dates,0,0
2021-08-08,svod_dates,0,0
2021-08-09,svod_dates,0,0
2021-08-10,svod_dates,0,0
2021-08-11,svod_dates,0,0
2021-08-12,svod_dates,0,0
2021-08-13,svod_dates,0,0
2021-08-14,svod_dates,0,0
2021-08-15,svod_dates,0,0
2021-08-16,svod_dates,0,0
2021-08-17,svod_dates,0,0
2021-08-18,svod_dates,0,0
2021-08-19,svod_dates,0,0
2021-08-20,svod_dates,0,0
2021-08-21,svod_dates,0,0
2021-08-22,svod_dates,0,0
2021-08-23,svod_dates,0,0
2021-08-24,svod_dates,0,0
2021-08-25,svod_dates,0,0
2021-08-26,svod_dates,0,0
2021-08-27,svod_dates,0,0
2021-08-28,svod_dates,0,0
2021-08-29,svod_dates,0,0
